uniprot_id	protein_function
P06400	DNA binding
P06401	Signaling receptor (not transmembrane)
P06401	Transcription regulator
P06401	DNA binding
P06402	Oxidoreductase
P06479	Kinase
P06493	Kinase
P06494	Transmembrane receptor protein kinase
P06494	Kinase
P06494	DNA binding
P06536	Signaling receptor (not transmembrane)
P06536	Transcription regulator
P06536	DNA binding
P06537	Signaling receptor (not transmembrane)
P06537	Transcription regulator
P06537	DNA binding
P06702	no_function
P06730	no_function
P06733	Lyase
P06733	Transcription regulator
P06733	DNA binding
P06737	Transferase (glycosyl groups)
P06746	Lyase
P06746	Transferase (phosphorus-containing groups, non-kinase)
P06746	DNA binding
P06756	Signaling receptor (not transmembrane)
P06756	Transporter
P06760	Hydrolase (glycosyl bonds)
P06762	Hydrolase (ester bonds)
P06762	Oxidoreductase
P06766	Lyase
P06766	Transferase (phosphorus-containing groups, non-kinase)
P06766	DNA binding
P06797	Peptidase
P06804	DNA binding
P06821	Transporter
P06858	Hydrolase (ester bonds)
P06865	Hydrolase (glycosyl bonds)
P06865	Transferase (glycosyl groups)
P06869	Peptidase
P06870	Peptidase
P06873	Peptidase
P06881	no_function
P06935	Peptidase
P06935	Hydrolase (acid anhydrides)
P06935	Transferase (one-carbon groups)
P06935	Transferase (phosphorus-containing groups, non-kinase)
P06935	DNA binding
P07099	Hydrolase (other)
P07140	Hydrolase (ester bonds)
P07141	no_function
P07148	Transporter
P07154	Peptidase
P07195	Oxidoreductase
P07202	Oxidoreductase
P07237	Isomerase
P07237	Oxidoreductase
P07254	Hydrolase (glycosyl bonds)
P07265	Hydrolase (glycosyl bonds)
P07288	Peptidase
P07288	Hydrolase (C-N bonds, no peptides)
P07293	Transporter
P07305	DNA binding
P07308	Oxidoreductase
P07314	Peptidase
P07314	Transferase (acyl groups)
P07327	Oxidoreductase
P07332	Kinase
P07333	Transmembrane receptor protein kinase
P07333	Kinase
P07339	Peptidase
P07374	Hydrolase (C-N bonds, no peptides)
P07382	Oxidoreductase
P07382	Transferase (one-carbon groups)
P07384	Peptidase
P07437	Hydrolase (acid anhydrides)
P07445	Isomerase
P07451	Hydrolase (ester bonds)
P07451	Lyase
P07477	Peptidase
P07550	G protein-coupled receptor
P07607	Folic acid binding
P07607	Transferase (one-carbon groups)
P07650	Transferase (glycosyl groups)
P07683	Hydrolase (glycosyl bonds)
P07686	Hydrolase (glycosyl bonds)
P07686	Transferase (glycosyl groups)
P07711	Peptidase
P07727	Transmembrane signaling receptors (other)
P07727	Transporter
P07741	Transferase (glycosyl groups)
P07752	Lyase
P07824	Hydrolase (C-N bonds, no peptides)
P07858	Peptidase
P07861	Peptidase
P07872	Oxidoreductase
P07900	Enzyme regulator
P07900	Hydrolase (acid anhydrides)
P07943	Oxidoreductase
P07947	Kinase
P07948	Kinase
P07949	Transmembrane receptor protein kinase
P07949	Kinase
P07996	no_function
P08001	Peptidase
P08001	Hydrolase (C-N bonds, no peptides)
P08049	Peptidase
P08069	Transmembrane receptor protein kinase
P08069	Kinase
P08069	Transporter
P08104	Transporter
P08138	Transmembrane signaling receptors (other)
P08151	Transcription regulator
P08151	DNA binding
P08170	Oxidoreductase
P08172	G protein-coupled receptor
P08173	G protein-coupled receptor
P08176	Peptidase
P08191	no_function
P08192	Ligase
P08235	Signaling receptor (not transmembrane)
P08235	Transcription regulator
P08235	DNA binding
P08236	Hydrolase (glycosyl bonds)
P08238	Enzyme regulator
P08238	Hydrolase (acid anhydrides)
P08240	Hydrolase (acid anhydrides)
P08246	Peptidase
P08246	Transcription regulator
P08253	Peptidase
P08254	Peptidase
P08294	Oxidoreductase
P08311	Peptidase
P08397	Transferase (alkyl or aryl groups, no methyl)
P08419	Peptidase
P08424	Peptidase
P08473	Peptidase
P08482	G protein-coupled receptor
P08483	G protein-coupled receptor
P08483	Acetylcholine binding
P08485	Enzyme regulator
P08485	G protein-coupled receptor
P08487	Hydrolase (ester bonds)
P08574	Oxidoreductase
P08574	Transporter
P08575	Hydrolase (ester bonds)
P08575	Transmembrane signaling receptors (other)
P08581	Transmembrane receptor protein kinase
P08581	Kinase
P08588	Enzyme regulator
P08588	G protein-coupled receptor
P08592	Enzyme regulator
P08592	DNA binding
P08631	Kinase
P08648	no_function
P08659	Oxidoreductase
P08689	no_function
P08709	Peptidase
P08799	no_function
P08842	Hydrolase (ester bonds)
P08908	G protein-coupled receptor
P08908	Serotonin binding
P08909	G protein-coupled receptor
P08909	Serotonin binding
P08911	G protein-coupled receptor
P08912	Hydrolase (ester bonds)
P08912	G protein-coupled receptor
P08913	G protein-coupled receptor
P08913	Epinephrine binding
P08922	Transmembrane receptor protein kinase
P08922	Kinase
P09038	Transcription regulator
P09057	Lyase
P09086	Transcription regulator
P09086	DNA binding
P09172	Oxidoreductase
P09216	Enzyme regulator
P09216	Kinase
P09237	Peptidase
P09238	Peptidase
P09242	Hydrolase (acid anhydrides)
P09242	Hydrolase (ester bonds)
P09382	no_function
P09429	Lyase
P09429	Transcription regulator
P09429	DNA binding
P09467	Hydrolase (ester bonds)
P09470	Peptidase
P09482	Transmembrane signaling receptors (other)
P09482	Transporter
P09483	Transmembrane signaling receptors (other)
P09483	Acetylcholine binding
P09483	Transporter
P09487	Hydrolase (acid anhydrides)
P09487	Hydrolase (ester bonds)
P09581	Transmembrane receptor protein kinase
P09581	Kinase
P09598	Hydrolase (ester bonds)
P09601	Hydrolase (ester bonds)
P09601	Oxidoreductase
P09610	Oxidoreductase
P09619	G protein-coupled receptor
P09619	Transmembrane receptor protein kinase
P09619	Kinase
P09651	DNA binding
P09660	Transmembrane signaling receptors (other)
P09660	Transporter
P09668	Enzyme regulator
P09668	Peptidase
P09668	Transmembrane signaling receptors (other)
P09769	Kinase
P09790	Peptidase
P09810	Oxidoreductase
P09811	Transferase (glycosyl groups)
P09812	Transferase (glycosyl groups)
P09848	Hydrolase (glycosyl bonds)
P09871	Peptidase
P09874	Transferase (glycosyl groups)
P09874	DNA binding
P09884	Transferase (phosphorus-containing groups, non-kinase)
P09884	DNA binding
P09917	Hydrolase (other)
P09917	Oxidoreductase
P09923	Hydrolase (ester bonds)
P09936	Peptidase
P09936	Ligase
P09955	Peptidase
P09958	Enzyme regulator
P09958	Peptidase
P09960	Peptidase
P0A017	Oxidoreductase
P0A031	Hydrolase (acid anhydrides)
P0A0H5	Hydrolase (ester bonds)
P0A0I7	DNA binding
P0A0J7	Transporter
P0A0K8	Isomerase
P0A0K8	DNA binding
P0A3M1	Hydrolase (C-N bonds, no peptides)
P0A6R0	Transferase (acyl groups)
P0A6W3	Transferase (phosphorus-containing groups, non-kinase)
P0A749	Transferase (alkyl or aryl groups, no methyl)
P0A7Y4	Hydrolase (ester bonds)
P0A8F0	Transferase (glycosyl groups)
P0A9A6	Hydrolase (acid anhydrides)
P0A9J6	Kinase
P0A9J8	Isomerase
P0A9J8	Lyase
P0ABQ4	Oxidoreductase
P0ABQ4	Folic acid binding
P0AD63	Hydrolase (C-N bonds, no peptides)
P0AD64	Hydrolase (C-N bonds, no peptides)
P0AD65	Peptidase
P0AES6	Isomerase
P0AES6	DNA binding
P0AF14	Hydrolase (glycosyl bonds)
P0C0F4	Oxidoreductase
P0C0L6	G protein-coupled receptor
P0C1P9	Hydrolase (ester bonds)
P0C1P9	Transferase (phosphorus-containing groups, non-kinase)
P0C1P9	DNA binding
P0C1S0	Transcription regulator
P0C1S0	DNA binding
P0C1S7	Isomerase
P0C1S7	DNA binding
P0C1S8	Kinase
P0C1U8	Peptidase
P0C1U9	Isomerase
P0C1U9	DNA binding
P0C559	Isomerase
P0C559	DNA binding
P0C5S6	Hydrolase (ester bonds)
P0C5S6	Kinase
P0C6U6	Peptidase
P0C6U6	Transferase (other)
P0C6U8	Peptidase
P0C6U8	Hydrolase (ester bonds)
P0C6U8	Lyase
P0C6U8	Transferase (phosphorus-containing groups, non-kinase)
P0C6X7	Peptidase
P0C6X7	Hydrolase (acid anhydrides)
P0C6X7	Hydrolase (ester bonds)
P0C6X7	Lyase
P0C6X7	Transferase (one-carbon groups)
P0C6X7	Transferase (phosphorus-containing groups, non-kinase)
P0C7A3	Transferase (acyl groups)
P0CS83	Peptidase
P0DJD9	Peptidase
P0DMS8	G protein-coupled receptor
P0DMS9	Transmembrane signaling receptors (other)
P0DMV8	Hydrolase (acid anhydrides)
P0DMV8	Transcription regulator
P0DP23	Enzyme regulator
P0DPI0	Peptidase
P0DPI0	Transporter
P0DTD1	Peptidase
P0DTD1	Hydrolase (acid anhydrides)
P0DTD1	Hydrolase (ester bonds)
P0DTD1	Lyase
P0DTD1	Transferase (one-carbon groups)
P0DTD1	Transferase (phosphorus-containing groups, non-kinase)
P0DUB6	Hydrolase (glycosyl bonds)
P10070	Transcription regulator
P10070	DNA binding
P10145	no_function
P10173	Lyase
P10236	Transferase (phosphorus-containing groups, non-kinase)
P10253	Hydrolase (glycosyl bonds)
P10275	Signaling receptor (not transmembrane)
P10275	Transcription regulator
P10275	DNA binding
P10276	Signaling receptor (not transmembrane)
P10276	Transcription regulator
P10276	DNA binding
P10323	Peptidase
P10323	Hydrolase (C-N bonds, no peptides)
P10323	DNA binding
P10398	Kinase
P10415	Transporter
P10415	DNA binding
P10481	Hydrolase (glycosyl bonds)
P10482	Hydrolase (glycosyl bonds)
P10499	Transporter
P10586	Hydrolase (ester bonds)
P10586	Transmembrane signaling receptors (other)
P10589	Signaling receptor (not transmembrane)
P10589	Transcription regulator
P10589	DNA binding
P10599	Oxidoreductase
P10605	Peptidase
P10608	G protein-coupled receptor
P10608	Epinephrine binding
P10619	Enzyme regulator
P10619	Peptidase
P10636	DNA binding
P10686	Hydrolase (ester bonds)
P10688	Hydrolase (ester bonds)
P10696	Hydrolase (ester bonds)
P10721	Transmembrane receptor protein kinase
P10721	Kinase
P10760	Hydrolase (other)
P10809	Hydrolase (acid anhydrides)
P10809	Isomerase
P10809	DNA binding
P10826	Signaling receptor (not transmembrane)
P10826	Transcription regulator
P10826	DNA binding
P10827	Signaling receptor (not transmembrane)
P10827	Transcription regulator
P10827	DNA binding
P10828	Signaling receptor (not transmembrane)
P10828	Transcription regulator
P10828	DNA binding
P10844	Peptidase
P10844	Transporter
P10938	Transferase (one-carbon groups)
P10980	G protein-coupled receptor
P11021	Hydrolase (acid anhydrides)
P11064	Hydrolase (ester bonds)
P11086	Transferase (one-carbon groups)
P11103	Transferase (glycosyl groups)
P11103	DNA binding
P11137	no_function
P11142	Hydrolase (acid anhydrides)
P11150	Hydrolase (ester bonds)
P11152	Hydrolase (ester bonds)
P11166	Transporter
P11167	Transporter
P11168	Transporter
P11169	Transporter
P11172	Lyase
P11172	Transferase (glycosyl groups)
P11214	Peptidase
P11216	Transferase (glycosyl groups)
P11217	Transferase (glycosyl groups)
P11229	Hydrolase (ester bonds)
P11229	G protein-coupled receptor
P11274	Enzyme regulator
P11274	Kinase
P11308	Transcription regulator
P11308	DNA binding
P11309	Enzyme regulator
P11309	Kinase
P11344	Oxidoreductase
P11362	Transmembrane receptor protein kinase
P11362	Kinase
P11387	Isomerase
P11387	Kinase
P11387	DNA binding
P11388	Isomerase
P11388	DNA binding
P11413	Oxidoreductase
P11416	Enzyme regulator
P11416	Signaling receptor (not transmembrane)
P11416	Transcription regulator
P11416	DNA binding
P11440	Kinase
P11444	Isomerase
P11473	Signaling receptor (not transmembrane)
P11473	Transcription regulator
P11473	DNA binding
P11474	Signaling receptor (not transmembrane)
P11474	Transcription regulator
P11474	DNA binding
P11497	Ligase
P11507	Transporter
P11541	Hydrolase (ester bonds)
P11586	Hydrolase (C-N bonds, no peptides)
P11586	Ligase
P11586	Oxidoreductase
P11597	Transporter
P11678	Oxidoreductase
P11708	Oxidoreductase
P11716	Transporter
P11717	Transmembrane receptor protein kinase
P11717	Kinase
P11762	no_function
P11766	Oxidoreductase
P11797	Hydrolase (glycosyl bonds)
P11799	Kinase
P11802	Enzyme regulator
P11802	Kinase
P11838	Peptidase
P11884	Hydrolase (ester bonds)
P11884	Oxidoreductase
P11926	Lyase
P11940	no_function
P12004	Enzyme regulator
P12004	Hydrolase (glycosyl bonds)
P12004	DNA binding
P12104	Transporter
P12236	Transporter
P12259	no_function
P12265	Hydrolase (glycosyl bonds)
P12268	Oxidoreductase
P12268	DNA binding
P12276	Hydrolase (ester bonds)
P12276	Lyase
P12276	Oxidoreductase
P12276	Transferase (acyl groups)
P12276	DNA binding
P12314	Transmembrane signaling receptors (other)
P12337	Hydrolase (ester bonds)
P12389	Transmembrane signaling receptors (other)
P12389	Transporter
P12527	Hydrolase (other)
P12527	Oxidoreductase
P12530	Oxidoreductase
P12657	G protein-coupled receptor
P12711	Oxidoreductase
P12746	DNA binding
P12785	Hydrolase (ester bonds)
P12785	Lyase
P12785	Oxidoreductase
P12785	Transferase (acyl groups)
P12807	Oxidoreductase
P12821	Peptidase
P12822	Peptidase
P12931	Enzyme regulator
P12931	Kinase
P12955	Peptidase
P13051	Hydrolase (glycosyl bonds)
P13051	DNA binding
P13053	Signaling receptor (not transmembrane)
P13053	Transcription regulator
P13053	DNA binding
P13100	Transferase (one-carbon groups)
P13159	Kinase
P13264	Hydrolase (C-N bonds, no peptides)
P13497	Peptidase
P13500	Kinase
P13516	Oxidoreductase
P13601	Oxidoreductase
P13612	Signaling receptor (not transmembrane)
P13631	Signaling receptor (not transmembrane)
P13631	Transcription regulator
P13631	DNA binding
P13661	Hydrolase (C-N bonds, no peptides)
P13674	Oxidoreductase
P13716	Lyase
P13726	Transmembrane signaling receptors (other)
P13807	Transferase (glycosyl groups)
P13807	Transferase (phosphorus-containing groups, non-kinase)
P13861	Enzyme regulator
P13864	Transferase (one-carbon groups)
P13864	DNA binding
P13866	Transporter
P13945	G protein-coupled receptor
P13945	Epinephrine binding
P13956	Transferase (one-carbon groups)
P13995	Hydrolase (C-N bonds, no peptides)
P13995	Oxidoreductase
P14060	Isomerase
P14060	Oxidoreductase
P14061	Oxidoreductase
P14091	Peptidase
P14099	Hydrolase (ester bonds)
P14100	Hydrolase (ester bonds)
P14142	Transporter
P14174	Isomerase
P14207	Signaling receptor (not transmembrane)
P14207	Folic acid binding
P14210	no_function
P14222	Transporter
P14234	Kinase
P14270	Hydrolase (ester bonds)
P14324	Transferase (alkyl or aryl groups, no methyl)
P14384	Peptidase
P14410	Hydrolase (glycosyl bonds)
P14416	G protein-coupled receptor
P14416	Dopamine binding
P14422	Hydrolase (ester bonds)
P14423	Hydrolase (ester bonds)
P14489	Hydrolase (C-N bonds, no peptides)
P14550	Oxidoreductase
P14555	Hydrolase (ester bonds)
P14598	Enzyme regulator
P14598	Oxidoreductase
P14600	G protein-coupled receptor
P14616	Transmembrane receptor protein kinase
P14616	Kinase
P14618	Kinase
P14625	Hydrolase (acid anhydrides)
P14672	Transporter
P14679	Oxidoreductase
P14735	Peptidase
P14740	Peptidase
P14778	Hydrolase (glycosyl bonds)
P14778	Transmembrane signaling receptors (other)
P14780	Peptidase
P14842	G protein-coupled receptor
P14842	Serotonin binding
P14859	Transcription regulator
P14859	DNA binding
P14867	Transmembrane signaling receptors (other)
P14867	Transporter
P14902	Oxidoreductase
P14920	Oxidoreductase
P14925	Lyase
P14925	Oxidoreductase
P14927	no_function
P15056	Kinase
P15085	Peptidase
P15086	Peptidase
P15090	Transporter
P15101	Oxidoreductase
P15121	Oxidoreductase
P15127	Transmembrane receptor protein kinase
P15127	Kinase
P15144	Peptidase
P15144	Signaling receptor (not transmembrane)
P15145	Peptidase
P15169	Peptidase
P15207	Signaling receptor (not transmembrane)
P15207	Transcription regulator
P15207	DNA binding
P15208	Transmembrane receptor protein kinase
P15208	Kinase
P15273	Hydrolase (ester bonds)
P15291	Transferase (glycosyl groups)
P15304	Hydrolase (ester bonds)
P15319	no_function
P15328	Signaling receptor (not transmembrane)
P15328	Folic acid binding
P15374	Peptidase
P15381	Transporter
P15382	Transporter
P15384	Transporter
P15385	Transporter
P15387	Transporter
P15389	Transporter
P15390	Transporter
P15428	Oxidoreductase
P15428	G protein-coupled receptor
P15445	Hydrolase (ester bonds)
P15498	Enzyme regulator
P15559	Oxidoreductase
P15589	Hydrolase (ester bonds)
P15692	no_function
P15735	Kinase
P15823	G protein-coupled receptor
P15840	Transferase (one-carbon groups)
P15840	DNA binding
P15907	Transferase (glycosyl groups)
P15917	Peptidase
P15944	Peptidase
P16050	Oxidoreductase
P16054	Enzyme regulator
P16054	Kinase
P16056	Transmembrane receptor protein kinase
P16056	Kinase
P16083	Oxidoreductase
P16092	Transmembrane receptor protein kinase
P16092	Kinase
P16109	no_function
P16116	Oxidoreductase
P16118	Hydrolase (ester bonds)
P16118	Kinase
P16152	Oxidoreductase
P16154	Peptidase
P16154	Transferase (glycosyl groups)
P16177	G protein-coupled receptor
P16184	Oxidoreductase
P16232	Oxidoreductase
P16233	Hydrolase (ester bonds)
P16234	Transmembrane receptor protein kinase
P16234	Kinase
P16235	G protein-coupled receptor
P16257	Signaling receptor (not transmembrane)
P16277	Kinase
P16278	Hydrolase (glycosyl bonds)
P16296	Peptidase
P16389	Transporter
P16390	Transporter
P16395	G protein-coupled receptor
P16453	Lyase
P16455	Transferase (one-carbon groups)
P16455	DNA binding
P16469	Oxidoreductase
P16473	G protein-coupled receptor
P16499	Hydrolase (ester bonds)
P16551	Hydrolase (glycosyl bonds)
P16581	Transmembrane signaling receptors (other)
P16586	Hydrolase (ester bonds)
P16591	Kinase
P16610	G protein-coupled receptor
P16615	Transporter
P16638	Transferase (acyl groups)
P16753	Peptidase
P16788	Kinase
P17164	Hydrolase (glycosyl bonds)
P17174	Lyase
P17174	Transferase (other)
P17181	Transmembrane signaling receptors (other)
P17252	Kinase
P17405	Hydrolase (ester bonds)
P17405	Hydrolase (glycosyl bonds)
P17516	Oxidoreductase
P17516	Transporter
P17538	Peptidase
P17597	Transferase (other)
P17599	no_function
P17612	Kinase
P17655	Peptidase
P17658	Transporter
P17659	Transporter
P17706	Hydrolase (ester bonds)
P17707	Lyase
P17712	Kinase
P17752	Oxidoreductase
P17764	Transferase (acyl groups)
P17931	Enzyme regulator
P17948	Transmembrane receptor protein kinase
P17948	Kinase
P18031	Hydrolase (ester bonds)
P18054	Hydrolase (other)
P18054	Oxidoreductase
P18074	Hydrolase (acid anhydrides)
P18074	DNA binding
P18089	G protein-coupled receptor
P18089	Epinephrine binding
P18090	Enzyme regulator
P18090	G protein-coupled receptor
P18130	G protein-coupled receptor
P18177	Peptidase
P18177	Transferase (glycosyl groups)
P18292	Peptidase
P18292	Signaling receptor (not transmembrane)
P18405	Oxidoreductase
P18433	Hydrolase (ester bonds)
P18433	Transmembrane signaling receptors (other)
P18493	Transferase (glycosyl groups)
P18493	DNA binding
P18510	no_function
P18669	Hydrolase (other)
P18669	Isomerase
P18825	G protein-coupled receptor
P18825	Epinephrine binding
P18841	G protein-coupled receptor
P18858	Ligase
P18858	DNA binding
P18886	Transferase (acyl groups)
P18894	Oxidoreductase
P18901	G protein-coupled receptor
P18901	Dopamine binding
P18911	Signaling receptor (not transmembrane)
P18911	Transcription regulator
P18911	DNA binding
P19020	G protein-coupled receptor
P19021	Lyase
P19021	Oxidoreductase
P19091	Signaling receptor (not transmembrane)
P19091	Transcription regulator
P19091	DNA binding
P19096	Hydrolase (ester bonds)
P19096	Lyase
P19096	Oxidoreductase
P19096	Transferase (acyl groups)
P19111	Hydrolase (ester bonds)
P19112	Hydrolase (ester bonds)
P19120	Hydrolase (acid anhydrides)
P19156	Transporter
P19174	Hydrolase (ester bonds)
P19205	Peptidase
P19221	Peptidase
P19221	Signaling receptor (not transmembrane)
P19320	Oxidoreductase
P19327	G protein-coupled receptor
P19327	Serotonin binding
P19328	G protein-coupled receptor
P19328	Epinephrine binding
P19332	DNA binding
P19357	Transporter
P19367	Kinase
P19438	Transmembrane signaling receptors (other)
P19490	Transmembrane signaling receptors (other)
P19490	Transporter
P19491	Transmembrane signaling receptors (other)
P19491	Transporter
P19492	Transmembrane signaling receptors (other)
P19492	Transporter
P19493	Transmembrane signaling receptors (other)
P19493	Transporter
P19525	Enzyme regulator
P19525	Kinase
P19602	Peptidase
P19621	Peptidase
P19634	Transporter
P19643	Oxidoreductase
P19754	Lyase
P19784	Kinase
P19785	Signaling receptor (not transmembrane)
P19785	Transcription regulator
P19785	DNA binding
P19793	Signaling receptor (not transmembrane)
P19793	Transcription regulator
P19793	DNA binding
P19801	Oxidoreductase
P19821	Transferase (phosphorus-containing groups, non-kinase)
P19821	DNA binding
P19838	Transcription regulator
P19838	DNA binding
P19969	Transmembrane signaling receptors (other)
P19969	Transporter
P19971	Transferase (glycosyl groups)
P20142	Peptidase
P20151	Peptidase
P20192	Kinase
P20231	Peptidase
P20236	Transmembrane signaling receptors (other)
P20236	Transporter
P20272	G protein-coupled receptor
P20272	Transporter
P20288	G protein-coupled receptor
P20292	Enzyme regulator
P20292	Lyase
P20292	Oxidoreductase
P20292	Transferase (alkyl or aryl groups, no methyl)
P20309	Hydrolase (ester bonds)
P20309	G protein-coupled receptor
P20309	Acetylcholine binding
P20340	Hydrolase (acid anhydrides)
P20393	Signaling receptor (not transmembrane)
P20393	Transcription regulator
P20393	DNA binding
P20395	G protein-coupled receptor
P20417	Hydrolase (ester bonds)
P20444	Kinase
P20618	Peptidase
P20701	Transmembrane signaling receptors (other)
P20749	Transcription regulator
P20789	G protein-coupled receptor
P20794	Transcription regulator
P20794	Kinase
P20831	Isomerase
P20831	DNA binding
P20839	Oxidoreductase
P20839	DNA binding
P20917	no_function
P20918	Peptidase
P21127	Kinase
P21146	Kinase
P21183	Transmembrane signaling receptors (other)
P21236	Transferase (one-carbon groups)
P21275	no_function
P21281	Hydrolase (other)
P21281	Transporter
P21396	Oxidoreductase
P21396	Serotonin binding
P21397	Oxidoreductase
P21398	Oxidoreductase
P21451	G protein-coupled receptor
P21452	G protein-coupled receptor
P21453	G protein-coupled receptor
P21462	G protein-coupled receptor
P21554	G protein-coupled receptor
P21554	Transporter
P21555	G protein-coupled receptor
P21556	G protein-coupled receptor
P21575	Hydrolase (acid anhydrides)
P21588	Hydrolase (ester bonds)
P21589	Hydrolase (ester bonds)
P21675	Transferase (acyl groups)
P21675	Kinase
P21675	DNA binding
P21687	Isomerase
P21687	Oxidoreductase
P21709	Transmembrane receptor protein kinase
P21709	Kinase
P21728	G protein-coupled receptor
P21728	Dopamine binding
P21730	G protein-coupled receptor
P21731	Enzyme regulator
P21731	G protein-coupled receptor
P21761	G protein-coupled receptor
P21802	Transmembrane receptor protein kinase
P21802	Kinase
P21836	Hydrolase (ester bonds)
P21836	Acetylcholine binding
P21845	Peptidase
P21860	Enzyme regulator
P21860	Transmembrane receptor protein kinase
P21860	Kinase
P21917	G protein-coupled receptor
P21917	Dopamine binding
P21917	Epinephrine binding
P21918	G protein-coupled receptor
P21918	Dopamine binding
P21964	Transferase (one-carbon groups)
P21980	Peptidase
P21980	Hydrolase (C-N bonds, no peptides)
P21980	Transferase (acyl groups)
P21981	Peptidase
P21981	Hydrolase (C-N bonds, no peptides)
P21981	Transferase (acyl groups)
P22001	Transporter
P22002	Transporter
P22079	Oxidoreductase
P22102	Ligase
P22102	Transferase (one-carbon groups)
P22199	Signaling receptor (not transmembrane)
P22199	Transcription regulator
P22199	DNA binding
P22234	Ligase
P22234	Lyase
P22303	Hydrolase (ester bonds)
P22303	Acetylcholine binding
P22307	Transferase (acyl groups)
P22307	Transporter
P22392	Transcription regulator
P22392	Kinase
P22392	DNA binding
P22411	Peptidase
P22413	Hydrolase (acid anhydrides)
P22413	Hydrolase (ester bonds)
P22437	Oxidoreductase
P22449	Hydrolase (ester bonds)
P22449	Signaling receptor (not transmembrane)
P22449	Transcription regulator
P22449	DNA binding
P22455	Transmembrane receptor protein kinase
P22455	Kinase
P22459	Transporter
P22460	Transporter
P22513	Oxidoreductase
P22518	Kinase
P22605	Signaling receptor (not transmembrane)
P22605	Transcription regulator
P22605	DNA binding
P22607	Transmembrane receptor protein kinase
P22607	Kinase
P22612	Kinase
P22629	no_function
P22674	Enzyme regulator
P22687	Transporter
P22694	Kinase
P22734	Transferase (one-carbon groups)
P22735	Transferase (acyl groups)
P22736	Signaling receptor (not transmembrane)
P22736	Transcription regulator
P22736	DNA binding
P22748	Lyase
P22756	Transmembrane signaling receptors (other)
P22756	Transporter
P22760	Hydrolase (ester bonds)
P22771	Transmembrane signaling receptors (other)
P22771	Transporter
P22830	Lyase
P22888	G protein-coupled receptor
P22894	Peptidase
P22906	Oxidoreductase
P22909	G protein-coupled receptor
P22909	Epinephrine binding
P22935	no_function
P22985	Oxidoreductase
P23097	Peptidase
P23109	Hydrolase (C-N bonds, no peptides)
P23141	Hydrolase (ester bonds)
P23204	Signaling receptor (not transmembrane)
P23204	Transcription regulator
P23204	DNA binding
P23219	Oxidoreductase
P23280	Lyase
P23284	Isomerase
P23298	Kinase
P23316	Transferase (glycosyl groups)
P23385	G protein-coupled receptor
P23415	Transmembrane signaling receptors (other)
P23415	Transporter
P23416	Transmembrane signaling receptors (other)
P23416	Transporter
P23443	Kinase
P23458	Kinase
P23467	Hydrolase (ester bonds)
P23467	Transmembrane signaling receptors (other)
P23469	Hydrolase (ester bonds)
P23469	Transmembrane signaling receptors (other)
P23470	Hydrolase (ester bonds)
P23470	Transmembrane signaling receptors (other)
P23471	Hydrolase (ester bonds)
P23471	Transmembrane signaling receptors (other)
P23526	Hydrolase (other)
P23574	Transmembrane signaling receptors (other)
P23574	Transporter
P23576	Transmembrane signaling receptors (other)
P23576	Transporter
P23687	Peptidase
P23711	Oxidoreductase
P23739	Hydrolase (glycosyl bonds)
P23743	Kinase
P23780	Hydrolase (glycosyl bonds)
P23786	Transferase (acyl groups)
P23791	Transporter
P23795	Hydrolase (ester bonds)
P23804	Ligase
P23804	Transferase (other)
P23919	Kinase
P23921	Oxidoreductase
P23944	G protein-coupled receptor
P23945	G protein-coupled receptor
P23946	Peptidase
P23975	Transporter
P23977	Dopamine binding
P23977	Transporter
P23978	Transporter
P23979	Transmembrane signaling receptors (other)
P23979	Serotonin binding
P23979	Transporter
P24008	Oxidoreductase
P24046	Transmembrane signaling receptors (other)
P24046	Transporter
P24062	Transmembrane receptor protein kinase
P24062	Kinase
P24062	Transporter
P24063	Transmembrane signaling receptors (other)
P24095	Oxidoreductase
P24158	Peptidase
P24387	no_function
P24527	Peptidase
P24530	G protein-coupled receptor
P24557	Isomerase
P24557	Lyase
P24557	Oxidoreductase
P24666	Hydrolase (ester bonds)
P24723	Kinase
P24822	Hydrolase (ester bonds)
P24823	Hydrolase (ester bonds)
P24855	Hydrolase (ester bonds)
P24855	DNA binding
P24941	Kinase
P24942	Transporter
P24964	Oxidoreductase
P24964	Transporter
P25021	G protein-coupled receptor
P25023	G protein-coupled receptor
P25024	G protein-coupled receptor
P25025	G protein-coupled receptor
P25054	Enzyme regulator
P25084	Transcription regulator
P25084	DNA binding
P25085	no_function
P25090	G protein-coupled receptor
P25095	G protein-coupled receptor
P25098	Kinase
P25099	G protein-coupled receptor
P25100	G protein-coupled receptor
P25101	Hydrolase (ester bonds)
P25101	G protein-coupled receptor
P25102	G protein-coupled receptor
P25103	G protein-coupled receptor
P25104	G protein-coupled receptor
P25105	G protein-coupled receptor
P25106	G protein-coupled receptor
P25115	G protein-coupled receptor
P25115	Dopamine binding
P25116	G protein-coupled receptor
P25122	Transporter
P25162	Transmembrane signaling receptors (other)
P25162	Transporter
P25440	Kinase
P25462	Ligase
P25774	Peptidase
P25779	Peptidase
P25805	Peptidase
P25910	Hydrolase (C-N bonds, no peptides)
P25911	Kinase
P25929	G protein-coupled receptor
P25963	no_function
P25975	Peptidase
P26045	Hydrolase (ester bonds)
P26196	Hydrolase (acid anhydrides)
P26255	G protein-coupled receptor
P26255	Epinephrine binding
