uniprot_id	protein_function
K4CF70	Lyase
K4CF70	Oxidoreductase
K4JQ36	Hydrolase (ester bonds)
K7N5L9	Oxidoreductase
M3VH47	Kinase
O00141	Kinase
O00142	Kinase
O00148	Hydrolase (acid anhydrides)
O00167	Hydrolase (ester bonds)
O00182	no_function
O00206	Hydrolase (glycosyl bonds)
O00206	Transmembrane signaling receptors (other)
O00214	no_function
O00222	G protein-coupled receptor
O00238	Enzyme regulator
O00238	Transmembrane receptor protein kinase
O00238	Kinase
O00255	DNA binding
O00257	Transcription regulator
O00257	Transferase (other)
O00257	DNA binding
O00264	no_function
O00311	Kinase
O00329	Kinase
O00337	Transporter
O00400	Transporter
O00408	Hydrolase (ester bonds)
O00418	Kinase
O00429	Enzyme regulator
O00429	Hydrolase (acid anhydrides)
O00443	Kinase
O00444	Kinase
O00459	Enzyme regulator
O00481	no_function
O00482	Signaling receptor (not transmembrane)
O00482	Transcription regulator
O00482	DNA binding
O00487	Enzyme regulator
O00487	Peptidase
O00506	Kinase
O00519	Hydrolase (C-N bonds, no peptides)
O00519	Hydrolase (ester bonds)
O00555	Transporter
O00571	Enzyme regulator
O00571	Hydrolase (acid anhydrides)
O00571	DNA binding
O00574	G protein-coupled receptor
O00590	G protein-coupled receptor
O00625	Oxidoreductase
O00625	Transcription regulator
O00748	Hydrolase (ester bonds)
O00750	Kinase
O00754	Hydrolase (glycosyl bonds)
O00763	Ligase
O00764	Kinase
O00767	Oxidoreductase
O02667	G protein-coupled receptor
O02747	Signaling receptor (not transmembrane)
O02747	Transcription regulator
O02747	DNA binding
O02768	Oxidoreductase
O02824	G protein-coupled receptor
O02853	Isomerase
O07855	Oxidoreductase
O07911	Kinase
O08532	Transporter
O08537	Signaling receptor (not transmembrane)
O08537	Transcription regulator
O08537	DNA binding
O08557	Hydrolase (C-N bonds, no peptides)
O08562	Transporter
O08565	G protein-coupled receptor
O08590	Oxidoreductase
O08663	Peptidase
O08689	no_function
O08725	G protein-coupled receptor
O08726	G protein-coupled receptor
O08786	G protein-coupled receptor
O08790	G protein-coupled receptor
O08816	no_function
O08858	G protein-coupled receptor
O08914	Hydrolase (C-N bonds, no peptides)
O08914	Hydrolase (ester bonds)
O08966	Transporter
O08967	Enzyme regulator
O09106	Hydrolase (C-N bonds, no peptides)
O09106	Transcription regulator
O09106	DNA binding
O09175	Peptidase
O13383	Transferase (glycosyl groups)
O14578	Enzyme regulator
O14578	Kinase
O14638	Hydrolase (acid anhydrides)
O14638	Hydrolase (ester bonds)
O14640	no_function
O14649	Transporter
O14672	Peptidase
O14684	Isomerase
O14684	Oxidoreductase
O14684	Transferase (alkyl or aryl groups, no methyl)
O14686	Transcription regulator
O14686	Transferase (one-carbon groups)
O14686	DNA binding
O14730	Kinase
O14733	Kinase
O14744	Transcription regulator
O14744	Transferase (one-carbon groups)
O14744	DNA binding
O14745	Transporter
O14746	Transferase (phosphorus-containing groups, non-kinase)
O14746	DNA binding
O14757	Kinase
O14786	Enzyme regulator
O14786	Transmembrane receptor protein kinase
O14786	Kinase
O14788	no_function
O14815	Peptidase
O14842	G protein-coupled receptor
O14843	G protein-coupled receptor
O14920	Kinase
O14929	Transferase (acyl groups)
O14939	Hydrolase (ester bonds)
O14965	Kinase
O14966	Hydrolase (acid anhydrides)
O14975	Ligase
O14975	Transporter
O14976	Kinase
O14980	no_function
O14983	Transporter
O15054	Oxidoreductase
O15054	DNA binding
O15056	Hydrolase (ester bonds)
O15075	Kinase
O15111	Kinase
O15120	Transferase (acyl groups)
O15121	Isomerase
O15121	Oxidoreductase
O15146	Transmembrane receptor protein kinase
O15146	Kinase
O15151	no_function
O15164	Transcription regulator
O15164	Kinase
O15164	DNA binding
O15197	Transmembrane receptor protein kinase
O15197	Kinase
O15229	Oxidoreductase
O15244	Transporter
O15245	Transporter
O15254	Oxidoreductase
O15264	Kinase
O15269	Transferase (acyl groups)
O15270	Transferase (acyl groups)
O15294	Transferase (glycosyl groups)
O15296	Oxidoreductase
O15297	Hydrolase (ester bonds)
O15297	Kinase
O15303	G protein-coupled receptor
O15305	Isomerase
O15355	Hydrolase (ester bonds)
O15357	Hydrolase (ester bonds)
O15379	Hydrolase (C-N bonds, no peptides)
O15379	Transcription regulator
O15382	Transferase (other)
O15392	Enzyme regulator
O15399	Transmembrane signaling receptors (other)
O15399	Transporter
O15427	Transporter
O15455	Hydrolase (glycosyl bonds)
O15455	Transmembrane signaling receptors (other)
O15492	Enzyme regulator
O15492	Hydrolase (acid anhydrides)
O15496	Hydrolase (ester bonds)
O15527	Hydrolase (ester bonds)
O15527	Hydrolase (glycosyl bonds)
O15527	Lyase
O15527	DNA binding
O15530	Enzyme regulator
O15530	Kinase
O15540	no_function
O15550	Oxidoreductase
O15550	DNA binding
O15552	G protein-coupled receptor
O15554	Transporter
O15648	Kinase
O15727	Hydrolase (C-N bonds, no peptides)
O15727	Hydrolase (glycosyl bonds)
O18531	Signaling receptor (not transmembrane)
O18531	Transcription regulator
O18531	DNA binding
O19045	Peptidase
O19175	Kinase
O23920	Oxidoreductase
O24163	Oxidoreductase
O24164	Oxidoreductase
O26232	Lyase
O30463	Oxidoreductase
O31048	Peptidase
O31272	Hydrolase (C-N bonds, no peptides)
O32393	Lyase
O32393	Kinase
O32449	Peptidase
O35049	Hydrolase (ester bonds)
O35078	Oxidoreductase
O35186	Peptidase
O35235	no_function
O35240	Transporter
O35346	Kinase
O35433	Transmembrane signaling receptors (other)
O35433	Transporter
O35435	Hydrolase (C-N bonds, no peptides)
O35435	Oxidoreductase
O35491	Kinase
O35492	Kinase
O35493	Kinase
